,,,,,,,,,,,
,,id_film,titre,date,image,prix,genre,realisateur,synopsis,duree,pays
,,1," ""Les Étoiles Brillantes"""," ""15 janvier 2024"""," ""etoiles_brillantes.jpg""",10," ""Science-fiction"""," ""Alice Dupont"""," ""Dans un futur lointain une équipe de scientifiques découvre une nouvelle source d'énergie dans l'espace.""",120," ""France"""
,,2," ""L'Odyssée Perdue"""," ""3 mars 2023"""," ""odyssee_perdue.jpg""",12," ""Aventure"""," ""Jean-Luc Moreau"""," ""Un explorateur part à la recherche d'une ancienne cité perdue pleine de mystères et de dangers.""",145," ""États-Unis"""
,,3," ""Le Secret des Âges"""," ""22 mai 2025"""," ""secret_ages.jpg""",8," ""Fantasy"""," ""Sophie Tremblay"""," ""Une quête épique commence lorsqu'un jeune héritier découvre un secret ancestral menant à un pouvoir inimaginable.""",110," ""Canada"""
,,4," ""Au-delà des Limites"""," ""7 novembre 2022"""," ""au-dela_limites.jpg""",15," ""Action"""," ""Alexandre Martin"""," ""Des agents secrets tentent d'arrêter un groupe terroriste avant qu'ils ne déclenchent une catastrophe mondiale.""",130," ""Royaume-Uni"""
,,5," ""Rêves de Demain"""," ""18 avril 2024"""," ""reves_demain.jpg""",11," ""Drame"""," ""Sophie Leclerc"""," ""Une histoire émouvante sur la lutte d'une jeune artiste pour réaliser ses rêves malgré les obstacles.""",105," ""France"""
,,6," ""La Dernière Frontière"""," ""9 septembre 2023"""," ""derniere_frontiere.jpg""",14," ""Science-fiction"""," ""Antoine Dubois"""," ""Des pionniers entreprennent un voyage intergalactique à la recherche d'une nouvelle planète habitable.""",155," ""États-Unis"""
,,7," ""Les Chroniques de l'Éclipse"""," ""5 juin 2025"""," ""chroniques_eclipse.jpg""",9," ""Fantasy"""," ""Marie Lefèvre"""," ""Un monde fantastique est menacé par une éclipse mystique  et seuls les élus peuvent sauver l'avenir.""",125," ""Canada"""
,,8," ""Traque Virtuelle"""," ""12 décembre 2022"""," ""traque_virtuelle.jpg""",13," ""Action"""," ""Lucas Blanchard"""," ""Dans un univers virtuel un hacker tente de révéler les secrets cachés du système.""",135," ""Japon"""
,,9," ""La Symphonie des Âmes"""," ""28 juillet 2024"""," ""symphonie_ames.jpg""",10," ""Drame"""," ""Camille Rousseau"""," ""Une jeune prodige du violon fait face à des défis personnels tout en cherchant la perfection musicale.""",100," ""Allemagne"""
,,10," ""Enquête au Crépuscule"""," ""10 octobre 2023"""," ""enquete_crepuscule.jpg""",16," ""Suspense"""," ""Philippe Gagnon"""," ""Un détective chevronné se retrouve confronté à une série de meurtres énigmatiques.""",140," ""France"""
,,11," ""L'Île des Merveilles"""," ""9 janvier 2025"""," ""ile_merveilles.jpg""",12," ""Aventure"""," ""Jeanne Lambert"""," ""Des explorateurs découvrent une île mystérieuse remplie de créatures extraordinaires et de trésors perdus.""",150," ""Espagne"""
,,12," ""Les Gardiens de l'Univers"""," ""28 mars 2023"""," ""gardiens_univers.jpg""",11," ""Science-fiction"""," ""Théo Bernard"""," ""Un groupe d'êtres extraterrestres protège l'équilibre de l'univers contre une force destructrice.""",125," ""États-Unis"""
,,13," ""Le Manuscrit Caché"""," ""17 juillet 2024"""," ""manuscrit_cache.jpg""",9," ""Fantasy"""," ""Julie Lecomte"""," ""Un livre ancien renferme des secrets magiques et une course contre la montre commence pour sauver un royaume en péril.""",115," ""France"""
,,14," ""Opération Tempête"""," ""5 novembre 2022"""," ""operation_tempete.jpg""",13," ""Action"""," ""Marc Dubois"""," ""Une équipe spéciale doit empêcher un groupe terroriste d'utiliser une arme redoutable lors d'une tempête cataclysmique.""",130," ""Royaume-Uni"""
